"English sentence","Swahili Translation"
"CAPULET My sword, I say!--Old Montague is come,","CAPULET upanga wangu, nasema - Montague Old kuja,"
"Mary even thought she saw him wink his eyes as if to wink tears away.","Mary hata mawazo yake aliona wink macho yake kama ikiwa kwa wink machozi mbali."
"Do not join in it.","Wala kujiunga katika hilo."
"O'er-cover'd quite with dead men's rattling bones, With reeky shanks and yellow chapless skulls;","O'er-cover'd kabisa na mifupa ya wafu rattling, Kwa Shanks reeky na njano skulls chapless;"
"""I didn't try to give you the slip,"" said Marvel, in a voice that was not far remote from tears.","""Mimi si kujaribu kutoa kuingizwa,"" alisema Usistaajabu, kwa sauti ambayo haikuwa mbali mbali na machozi."
"Went in that there door.","Walikwenda katika mlango huko."
"""I'll tell you something,"" said Fearenside, mysteriously.","""Nitakuambia kitu,"" alisema Fearenside, mysteriously."
"He seemed quite familiar and not the least afraid.","Alionekana kabisa familiar na si angalau hofu."
"As Paris hath.","Kama ana Paris."
"But then Mr. and Mrs. Samsa climbed very quickly out of bed, one on either side.","Lakini basi Bw na Bi Samsa akapanda haraka sana nje ya kitanda, mmoja upande."
"Fain would I dwell on form,fain, fain deny What I have spoke; but farewell compliment!","Wanatafuta ingekuwa mimi kukaa juu ya fomu, Wanatafuta, Wanatafuta kukana Niliyoandika kuongea lakini pongezi kwaherini!"
"Or my true heart with treacherous revolt Turn to another, this shall slay them both:","Au moyo wangu wa kweli na Turn wasaliti uasi na mwingine, huu nao utawaua wote:"
"I'll treat you like a queen.","Mimi itabidi kutibu wewe kama malkia."
"Be more positive.","Kuwa chanya zaidi."
"At the moment, however, this money was not nearly sufficient to permit the family to live on the interest payments.","Wakati huu, hata hivyo, fedha hii haikuwa karibu kutosha kuruhusu familia wanaishi kwa malipo ya riba."
"I'm so pissed.","Mimi am pissed."
"In this software, we access about 500 variables from all the countries quite easily.","Katika programu hii ya kompyuta, tunaweza kupata karibu alama 500 kutoka katika nchi zote kwa urahisi."
"It lay between that and her bedroom, and I was determined to see which.","Ni kuweka kati ya kuwa na chumbani kwake, na mimi amua kuona ambayo."
"After all, I thought, we are not injuring her.","Baada ya yote, mimi mawazo, sisi si kuwajeruhi yake."
"This is the peace and quiet of my old age.""","Hii ni amani na utulivu wa uzee wangu. """
"They saw the dog's teeth had slipped the hand, heard a kick, saw the dog execute a flanking jump and get home on the stranger's leg, and heard the rip of his trousering.","Waliona meno ya mbwa alikuwa amekwisha mkono, alisikia kick, aliona mbwa kutekeleza flanking kuruka na kupata nyumbani kwenye mguu mgeni, na kusikia mpasuko wa wake trousering."
"As soon as she felt assured of this, she aroused the Rev. Mr. Bunting as quietly as possible.","Haraka kama yeye alihisi uhakika wa hii, ilipingwa kwa yeye Ufunuo Mheshimiwa Bunting kama kimya kimya kama iwezekanavyo."
"""I was looking,"" he stammered.","""Nilikuwa kuangalia,"" alisema stammered."
"Anyway, I envy you.","Anyway, mimi husuda."
"""You see,"" remarked Holmes, as we paced to and fro in front of the house, ""this marriage rather simplifies matters. The photograph becomes a double-edged weapon now.","""Unaweza kuona,"" alisema Holmes, kama sisi paced na huko na huko mbele ya nyumba, ""hii ndoa badala simplifies mambo. picha inakuwa mbili-edged silaha sasa."
"Why should I?","Nini nifanye?"
"""I'm keepin' secrets all th' time,"" he said.","""Mimi keepin 'siri zote th' wakati,"" alisema."
"Be patient, for the world is broad and wide.","Kuwa na subira, kwa ajili ya dunia ni pana na kubwa."
"ROMEO Stay, fellow; I can read. [Reads.]","Romeo Kaa, wenzangu, mimi unaweza kusoma."
"I will not budge for no man's pleasure, I.","Mimi si Budge kwa radhi mtu yeyote, I."
"Feels good, doesn't it?","Anahisi nzuri, siyo hivyo? ni kuwa wakati... pamoja."
"All that information we saw changing in the world does not include publicly-funded statistics.","Taarifa zote tunazoziona zikibadilika duniani hazihusishi takwimu zinazogharimiwa na umma."
